2018-04-04 23:24:24 INFO  TC001_VerifyLoginWithInvalidCredentials:29 - ***********Starting TC001_VerifyLoginWithInvalidCredentials****************
2018-04-04 23:24:28 INFO  HomePage:39 - Clicked on SignIn and object is [[FirefoxDriver: firefox on XP (ee7415d3-b96f-49c3-8d93-1ba91577f2ca)] -> xpath: //a[@class='login'][@title='Log in to your customer account']]
2018-04-04 23:24:28 INFO  HomePage:41 - Entered email address: test@gmail.com and object is [[FirefoxDriver: firefox on XP (ee7415d3-b96f-49c3-8d93-1ba91577f2ca)] -> xpath: //input[@id='email']]
2018-04-04 23:24:29 INFO  HomePage:43 - Entered password: password and object is [[FirefoxDriver: firefox on XP (ee7415d3-b96f-49c3-8d93-1ba91577f2ca)] -> xpath: //input[@id='passwd']]
2018-04-04 23:24:32 INFO  HomePage:45 - Clicked on submit button and object is [[FirefoxDriver: firefox on XP (ee7415d3-b96f-49c3-8d93-1ba91577f2ca)] -> xpath: //button[@id='SubmitLogin']]
2018-04-04 23:24:32 INFO  HomePage:50 - Error message is Authentication failed.
2018-04-04 23:24:32 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - **********Finished TC001_VerifyLoginWithInvalidCredentials******************
2018-04-06 12:53:15 INFO  TC001_VerifyLoginWithInvalidCredentials:29 - ***********Starting TC001_VerifyLoginWithInvalidCredentials****************
2018-04-06 12:53:18 INFO  HomePage:37 - Clicked on SignIn and object is [[FirefoxDriver: firefox on XP (415d7436-c19e-4fa4-9c54-496ed4b2a9ff)] -> xpath: //a[@class='login'][@title='Log in to your customer account']]
2018-04-06 12:53:18 INFO  HomePage:39 - Entered email address: test@gmail.com and object is [[FirefoxDriver: firefox on XP (415d7436-c19e-4fa4-9c54-496ed4b2a9ff)] -> xpath: //input[@id='email']]
2018-04-06 12:53:18 INFO  HomePage:41 - Entered password: password and object is [[FirefoxDriver: firefox on XP (415d7436-c19e-4fa4-9c54-496ed4b2a9ff)] -> xpath: //input[@id='passwd']]
2018-04-06 12:53:21 INFO  HomePage:43 - Clicked on submit button and object is [[FirefoxDriver: firefox on XP (415d7436-c19e-4fa4-9c54-496ed4b2a9ff)] -> xpath: //button[@id='SubmitLogin']]
2018-04-06 12:53:21 INFO  HomePage:48 - Error message is Authentication failed.
2018-04-06 12:53:21 INFO  TC001_VerifyLoginWithInvalidCredentials:33 - **********Finished TC001_VerifyLoginWithInvalidCredentials******************
2018-04-06 19:16:30 INFO  TC002_VerifyRegistration:28 - ********************Starting TC002_VerifyRegistration***************************
2018-04-06 19:16:36 INFO  HomePage:107 - Clicked on SignIn and object is [[FirefoxDriver: firefox on XP (e2fbe39b-1db3-43d1-85de-a0fbeac64648)] -> xpath: //a[@class='login'][@title='Log in to your customer account']]
2018-04-06 19:16:37 INFO  HomePage:110 - Entered email and object is [[FirefoxDriver: firefox on XP (e2fbe39b-1db3-43d1-85de-a0fbeac64648)] -> xpath: //input[@id='email_create']]
